LOR-ID,LOR-Name,EW,Veränderung Vorjahr (%),Veränderung 5 Jahre (%),Veränderun Vorjahr (abs.),Veränderung 5 Jahre (abs.)
07050501,Rathausstraße,15881,0.1,3.3,9,506
07050502,Fritz-Werner-Straße,8030,4.3,7.5,330,563
07050503,Eisenacher Straße,9123,0.2,2.4,17,213
07050504,Imbrosweg,5554,1.4,1.7,74,93
07050505,Birnhornweg,10490,0.3,2.2,30,224
07050506,Hundsteinweg,2239,1.4,4.1,30,88
070505,Mariendorf,51317,1,3.4,490,1687
07,Tempelhof-Schöneberg,341161,1.6,3.6,5394,11916
