KID,Beschreibung,abs.,Indikatorwert,t-5,Bezirk,Berlin
B3,Anteil unter 18-Jähriger mit Migrationshintergrund an dieser Altersgruppe (%),3866,55.3,-,53.9,47.1
B4,Anteil 65-Jähriger und Älterer mit Migrationshintergrund an dieser Altersgruppe (%),1212,9.1,-,13.5,104
DA1,Einwohner_innen,51317,100,-,100,100
DD1,Deutsche ohne Migrationshintergrund ,35701,69.6,-,66.3,70.1
DE1,Deutsche mit Migrationshintergrund,8049,15.7,-,15.7,12.7
DF1,Ausländer_innen,7567,14.7,-,18,17.2
