KID,Beschreibung,abs.,Indikatorwert,t-5,Bezirk,Berlin
A6,Anteil der betreuten Kinder (Wohnort Kind) in öffentlich geförderter Kindertagesbetreuung an Kindern unter 6 Jahren (%),1610,64.2,2.4,64.6,67.2
E1,Anteil Kinder mit Sprachdefiziten an Einschüler_innen (%),218,22.2,-,19.7,21.9
E4,Anteil Kinder mit einer Kitabesuchsdauer über 2 Jahren an Einschüler_innen (%),889,88.5,-,88.7,88.6
