Altersgruppe / Jahr,2015,2020,2030,Veränderung 2030 zu 2015 in %,
unter 18 Jahren,6988,7258,7508,7574,8.4
18 bis unter 65 Jahre,31056,30677,30093,29283,-5.7
65 Jahre und mehr,13273,13538,14038,15046,13.4
gesamt,51317,51473,51639,51903,1.1
