KID,Beschreibung,abs.,Indikatorwert,t-5,Bezirk,Berlin
A1,Anteil der EW in einfacher Wohnlage (%),21851,42.6,-0.2,29.6,40.4
A2,Anteil der EW in mittlerer Wohnlage (%),29463,57.4,0.2,47.7,43.2
A3,Anteil der EW in guter Wohnlage (%),-,-,-,22.6,16.3
C1,Anteil der EW mit mindestens 5 Jahren Wohndauer an derselben Adresse (%),32455,66,2.3,64.3,61.9
