name,wert,phase_b,phase_bz
A4,6.9,,
A5,0.8,,
A6,67.2,,
A7,7.2,,
A8,1.8,,
B1,18.9,,
B2,8.1,,
C1,58.8,,
C2,0.2,,
C3,-1.1,,
D1,52.8,,
D2,4.5,,
D3,2.0,,
D4,7.3,,
D5,7.8,,
D6,5.2,,
DA1,33194,,
E1,8.3,,
E2,12.9,,
E3,3.4,,
E5,17.3,,
E6,11.1,,
E8,1.7,,
