KID,Beschreibung,abs.,Indikatorwert,t-5,Bezirk,Berlin
B3,Anteil unter 18-Jähriger mit Migrationshintergrund an dieser Altersgruppe (%),2949,36.9,-,53.9,47.1
B4,Anteil 65-Jähriger und Älterer mit Migrationshintergrund an dieser Altersgruppe (%),862,6.3,-,13.5,104
DA1,Einwohner_innen,50177,100,438,100,100
DD1,Deutsche ohne Migrationshintergrund ,40186,80.1,-,66.3,70.1
DE1,Deutsche mit Migrationshintergrund,5657,11.3,-,15.7,12.7
DF1,Ausländer_innen,4334,8.6,54.8,18,17.2
