Altersgruppe / Jahr,2015,2020,2030,Veränderung 2030 zu 2015 in %,
unter 18 Jahren,7983,8072,8319,8438,5.7
18 bis unter 65 Jahre,28531,27998,27708,27157,-4.8
65 Jahre und mehr,13663,13905,14092,14816,8.4
gesamt,50177,49975,50119,50411,0.5
