LOR-ID,LOR-Name,EW,Veränderung Vorjahr (%),Veränderung 5 Jahre (%),Veränderun Vorjahr (abs.),Veränderung 5 Jahre (abs.)
07070701,Kettinger Straße / Schillerstraße,10363,-0.4,0.3,-45,32
07070702,Alt-Lichtenrade / Töpchiner Weg,10471,3.2,2.7,320,272
07070703,John-Locke-Straße,7380,-1.3,-5.3,-100,-411
07070704,Nahariyastraße,8208,1,9.2,80,694
07070705,Franziusweg / Rohrbachstraße,7019,0.2,0.6,11,44
07070706,Horstwalder Straße / Paplitzer Stra0e,3899,4.7,4.9,176,183
07070707,Wittelsbacherstraße,2837,0.5,-1.9,14,-54
070707,Lichtenrade,50177,0.9,1.5,456,760
07,Tempelhof-Schöneberg,341161,1.6,3.6,5394,11916
