name,wert,phase_b,phase_bz
A4,4.8,,
A5,0.7,,
A6,67.4,,
A7,3.2,,
A8,2.9,,
B1,16.5,,
B2,5.8,,
C1,50.5,,
C2,2.5,,
C3,-6.2,,
D1,49.1,,
D2,3.6,,
D3,1.6,,
D4,5.0,,
D5,6.0,,
D6,5.8,,
DA1,30871,,
E1,12.4,,
E2,8.8,,
E3,4.0,,
E5,45.8,,
E6,19.0,,
E8,1.1,,
