LOR-ID,LOR-Name,EW,Veränderung Vorjahr (%),Veränderung 5 Jahre (%),Veränderun Vorjahr (abs.),Veränderung 5 Jahre (abs.)
07040401,Neu-Tempelhof,17775,3.8,11.3,649,2150
07040402,Lindenhofsiedlung,2114,0.6,1,12,-12
07040403,Manteuffelstraße,23662,1,5.2,244,1392
07040404,Marienhöhe,5062,0.1,2.6,5,102
07040405,Rathaus Tempelhof,10900,3.2,8.2,333,1442
07040406,Germaniagarten,3797,5.8,20.2,207,988
070404,Tempelhof,63310,2.3,7.8,1450,6062
07,Tempelhof-Schöneberg,341161,1.6,3.6,5394,11916
