KID,Beschreibung,abs.,in %,t-5,Bezirk (%),Berlin (%)
E5,Anteil Schüler_innen nicht deutscher Herkunftssprache an den Schüler_innen der öffentlichen Grundschulen (%),1420,54.9,4.2,40.1,42.2
E6,Anteil Schüler_innen mit Lernmittelkostenbefreiung an den Schüler_innen der öffentlichen Grundschulen (%),1102,42.6,5,36.8,38.7
