name,wert,phase_b,phase_bz
A4,10.7,,
A5,1.0,,
A6,70.2,,
A7,13.0,,
A8,2.1,,
B1,19.7,,
B2,18.1,,
C1,61.8,,
C2,1.4,,
C3,1.4,,
D1,60.8,,
D2,4.5,,
D3,2.1,,
D4,9.2,,
D5,10.2,,
D6,2.3,,
DA1,35951,,
E1,8.9,,
E2,17.8,,
E3,3.7,,
E5,12.0,,
E6,13.7,,
E8,2.4,,
