BZR Nummer,Bezirksregion,Einwohner/-innen (EW) gesamt,Anteil ♀ absolut,Anteil ♀
 in %,Vorjahr,5 Jahre,Vorjahr,5 Jahre
101,Hakenfelde Nord,10550,5478,51.9,5.9,9.2,-0.8,-0.9
102,Goltzstraße,5789,3010,52,2.1,4.7,-0.3,0.1
103,Amorbacher Weg,7393,3795,51.3,-0.3,0.1,-0.3,-0.2
1,Hakenfelde,23732,12283,51.8,3,5.1,-0.5,-0.4
5,Spandau,234630,120403,51.3,1.8,7.6,-0.2,-0.5
0,Berlin,3610156,1830837,50.7,1.3,6.6,-0.2,
