name,wert,phase_b,phase_bz
A4,21.2,,
A5,0.9,,
A6,63.1,,
A7,11.2,,
A8,2.1,,
B1,18.9,,
B2,14.9,,
C1,66.0,,
C2,1.1,,
C3,2.0,,
D1,60.9,,
D2,8.8,,
D3,5.5,,
D4,27.6,,
D5,45.2,,
D6,6.1,,
DA1,29192,,
E1,33.5,,
E2,24.2,,
E3,17.0,,
E5,38.4,,
E6,47.2,,
E8,3.6,,
