Räumliche Ebene,GdB 20 - 100,GdB 50 - 100,Merkzeichen „G“,Merkzeichen „aG“,Merkzeichen „B“,Merkzeichen „H“
07030301,3168,2192,874,153,491,217
07030302,1342,914,332,37,173,66
07030303,1793,1156,411,54,220,65
070303,6303,4262,1617,244,884,348
