LOR-ID,Name,Anschrift,PLZ / Ort,Träger
07030302,Nachbarschaftshaus Friedenau,Holsteinische Str. ,12161 Berlin,Nachbarschaftsheim Schöneberg
07030302,Al Nadi (Treffpunkt und Beratung für arabische Frauen,Rheinstr. 53-54,12161 Berlin,Nachbarschaftsheim Schöneberg
07030302,Kidöb für türkische Frauen,Rheinstr. 53-54,12161 Berlin,Nachbarschaftsheim Schöneberg
07030303,Der Nachbar - Stadtteiltreff,Cranachstraße 7,12157 Berlin,Nachbarschaftsheim Schöneberg
