lat,lng,text,color
"390679,7786","5814012,621",privates Europa-Gymnasium,#1E3791
"38971,2291","5813980,765",Friedrich-Bergius-Schule (ISS),
"389943,51","58134223,73",Rheingau Gymnasium,
"389915,1861","5811779,437",Pal-Nartorp-Gymnasium,
"387594,96","5814463,31",Prignitz Schule,
"387517,79","5814569,77",Schülerclub Oase (JFE),
"387540,14","5814740,83",Musikzentrum VD 1 (JFE),
"387540,14","5814740,83",Medienwerkstatt (JFE),
"387668,99","5814712,18",Kinder- und Jugendzentrum VD 13 (JFE),
"387226,63","5814239,63",Menzeldorf (JFE),
"386783,29","5814362,15",Fläming-Grundschule,
"386514,8","5814829,52",Die Burg (JFE),
"386044,79","5814585,87",Stechlinsee-Grundschule,
"385972,39","5815221,51",Ruppin Grundschule,
