KID,Beschreibung,abs.,Indikatorwert,t-5,Bezirk,Berlin
A6,Anteil der betreuten Kinder (Wohnort Kind) in öffentlich geförderter Kindertagesbetreuung an Kindern unter 6 Jahren (%),1681,66.9,1.3,64.6,67.2
E1,Anteil Kinder mit Sprachdefiziten an Einschüler_innen (%),151,12.5,-,19.7,21.9
E4,Anteil Kinder mit einer Kitabesuchsdauer über 2 Jahren an Einschüler_innen (%),1120,92.5,-,88.7,88.6
