LOR-ID,LOR-Name,EW,Veränderung Vorjahr (%),Veränderung 5 Jahre (%),Veränderun Vorjahr (abs.),Veränderung 5 Jahre (abs.)
07030301,Friedenau,24069,0.8,1.4,199,326
07030302,Ceciliengärten,9237,0.9,1.6,86,145
07030303,Grazer Platz,12214,1.2,2.2,141,259
070303,Friedenau,45520,0.9,1.6,426,730
07,Tempelhof-Schöneberg,341161,1.6,3.6,5394,11916
