LOR-ID,Name,Anschrift,PLZ / Ort,SuS
07020201,Georg-von-Giesche-Schule (ISS),Hohenstaufenstr. 47-48 ,10779 Berlin,470
07020201,Löcknitz-Grundschule,Berchtesgadener Str. 10-11 ,10779 Berlin,362
07020201,Scharmützelsee-Grundschule,Hohenstaufenstr. 49 ,10779 Berlin,749
07020202,Rückert-Gymnasium,Mettestr. 8 ,10825 Berlin,716
07020202,Sternberg-Grundschule,Mettestr. 8,10825 Berlin,265
07020203,Gustav-Langenscheidt-Schule (ISS),Belziger Str. 43-51,10823 Berlin,279
07020203,Teltow-Grundschule,Feurigstr. 57,10827 Berlin,408
07020204,Havelland-Grundschule,Kolonnenstr. 30 ,10829 Berlin,412
07020204,Robert-Blum-Gymnasium,Kolonnenstr. 21,10829 Berlin,694
