KID,Beschreibung,abs.,Indikatorwert,t-5,Bezirk,Berlin
A1,Anteil der EW in einfacher Wohnlage (%),18854,37.7,0.7,29.6,40.4
A2,Anteil der EW in mittlerer Wohnlage (%),13009,26,2,47.7,43.2
A3,Anteil der EW in guter Wohnlage (%),18092,36.2,-2.8,22.6,16.3
C1,Anteil der EW mit mindestens 5 Jahren Wohndauer an derselben Adresse (%),28898,60.7,2.5,64.3,61.9
