KID,Beschreibung,abs.,Indikatorwert,t-5,Bezirk,Berlin
B3,Anteil unter 18-Jähriger mit Migrationshintergrund an dieser Altersgruppe (%),4005,57.2,-,53.9,47.1
B4,Anteil 65-Jähriger und Älterer mit Migrationshintergrund an dieser Altersgruppe (%),1468,20.6,-,13.5,104
DA1,Einwohner_innen,49967,100,3.4,100,100
DD1,Deutsche ohne Migrationshintergrund ,30954,61.9,-,66.3,70.1
DE1,Deutsche mit Migrationshintergrund,7744,15.5,-,15.7,12.7
DF1,Ausländer_innen,11269,22.6,5.5,18,17.2
