Räumliche Ebene,GdB 20 - 100,GdB 50 - 100,Merkzeichen „G“,Merkzeichen „aG“,Merkzeichen „B“,Merkzeichen „H“
07020201,1681,1187,447,64,230,87
07020202,1443,988,364,44,184,62
07020203,2309,1608,673,135,409,181
07020204,1261,864,340,44,178,82
070202,6694,4647,1824,287,1001,412
