LOR-ID,0<6 J.,6<15 J.,15<18 J.,18<25 J.,25<55 J.,55<65 J.,65<80 J.,80 J. und älter
07020201,3,2.8,11.8,1.8,0.3,-7.7,0.099,-4
07020202,18.5,17,-2.9,-3.9,9,4.5,7.7,-6.3
07020203,8.7,3.6,1.5,4.9,-2,8.6,19.2,-11.6
07020204,18,10.8,-3.3,-14.3,1.9,13.9,18.3,-24.4
070202,11.9,7.3,1.9,-2.5,1.5,4.6,13.5,-9.6
07,12.4,2.9,2.8,0.5,2.7,1.8,5.9,7
