KID,Beschreibung,abs.,Indikatorwert,t-5,Bezirk,Berlin
B3,Anteil unter 18-Jähriger mit Migrationshintergrund an dieser Altersgruppe (%),2855,55.7,-,53.9,47.1
B4,Anteil 65-Jähriger und Älterer mit Migrationshintergrund an dieser Altersgruppe (%),922,10.9,-,13.5,104
DA1,Einwohner_innen,31635,100,-,100,100
DD1,Deutsche ohne Migrationshintergrund ,21114,66.7,-,66.3,70.1
DE1,Deutsche mit Migrationshintergrund,6026,19,-,15.7,12.7
DF1,Ausländer_innen,4495,14.2,-7,18,17.2
