LOR-ID,Name,Anschrift,PLZ / Ort,Art 1,Art 2,Art 3,Art 4,Art 5,Art 6
07060601,Steinwald-Schule,Hanielweg 7 ,12277 Berlin,Halle >=15x27m bis <22x44m,Konditions- und Kraftraum,Kleinspielfeld <5000m²,LAEA (Laufbahn / Springen),,
07060602,Sportplatz Marienfelde,An der Dorfkirche 9 ,12277 Berlin,Jugend- und Mehrzweckraum,400m-Rundlaufbahn,Großspielfeld,Kleinspielfeld >=5000m² (3x),LAEA (Laufbahn),Sonstige Kernsportanlagen
07060602,Solling-Schule,Alt-Marienfelde 52 ,12277 Berlin,Halle >=15x27m bis <22x44m,,,,,
07060602,Kiepert-Grundschule,Prechtlstr. 21-23 ,12277 Berlin,Halle >=10x12m bis <15x27m,Jugend- und Mehrzweckraum,Kleinspielfeld<5000m²,LAEA (Laufbahn / Springen),,
07060604,Marienfelder Schule (Gebäude 1),Erbendorfer Weg 13 ,12279 Berlin,Halle >=15x27m bis <22x44m,Gymnastikwiese,Kleinspielfeld<5000m²,LAEA (Kugelstoßen / Laufbahn / Springen),,
07060604,Marienfelder Schule (Gebäude 2),Tirschenreuther Ring 69,12279 Berlin,Halle >=15x27m bis <22x44m,Kleinspielfeld<5000m²,,,,
07060604,Gustav-Heinemann-Schule,Fuchsmühler Weg 3 ,12279 Berlin,Halle >=15x27m bis <22x44m (2x),Konditions- und Kraftraum,LAEA (Kugelstoßen / Laufbahn / Springen),Kleinspielfeld <5000m² (5x),Großspielfeld,
07060604,Sporthalle Baußnernweg,Baußnernweg 8,12279 Berlin,Halle <=27x45m,,,,,
