KID,Beschreibung,abs.,Indikatorwert,t-5,Bezirk,Berlin
A1,Anteil der EW in einfacher Wohnlage (%),16211,51.2,1.5,29.6,40.4
A2,Anteil der EW in mittlerer Wohnlage (%),15424,48.8,-1.5,47.7,43.2
A3,Anteil der EW in guter Wohnlage (%),-,-,,22.6,16.3
C1,Anteil der EW mit mindestens 5 Jahren Wohndauer an derselben Adresse (%),19864,65.7,0.8,64.3,61.9
