Räumliche Ebene,GdB 20 - 100,GdB 50 - 100,Merkzeichen „G“,Merkzeichen „aG“,Merkzeichen „B“,Merkzeichen „H“
07060601,2091,1404,585,100,325,148
07060602,875,551,192,29,97,40
07060603,629,415,153,18,75,21
07060604,3505,2345,1002,167,511,191
070606,7100,4715,1932,314,1008,400
