KID,Beschreibung,abs.,Indikatorwert,t-5,Bezirk,Berlin
E5,Anteil Schüler_innen nicht deutscher Herkunftssprache an den Schüler_innen der öffentlichen Grundschulen (%),531,52.9,23.7,40.1,42.2
E6,Anteil Schüler_innen mit Lernmittelkostenbefreiung an den Schüler_innen der öffentlichen Grundschulen (%),499,49.7,-1,36.8,38.7
