LOR-ID,LOR-Name,EW,Veränderung Vorjahr (%),Veränderung 5 Jahre (%),Veränderun Vorjahr (abs.),Veränderung 5 Jahre (abs.)
07060601,Marienfelder Allee Nordwest,9934,0.3,7.5,33,695
07060602,Kirchstraße,4642,0.8,2.7,36,121
07060603,Marienfelde Nordost ,2813,2.7,3.6,73,98
07060604,Marienfelde Süd,14246,2.9,6.1,403,819
070606,Marienfelde,31635,1.8,5.8,545,1733
07,Tempelhof-Schöneberg,341161,1.6,3.6,5394,11916
