KID,Beschreibung,abs.,Indikatorwert,t-5,Bezirk,Berlin
A6,Anteil der betreuten Kinder (Wohnort Kind) in öffentlich geförderter Kindertagesbetreuung an Kindern unter 6 Jahren (%),1161,66.5,5.6,64.6,67.2
E1,Anteil Kinder mit Sprachdefiziten an Einschüler_innen (%),157,21.3,-,19.7,21.9
E4,Anteil Kinder mit einer Kitabesuchsdauer über 2 Jahren an Einschüler_innen (%),607,82.4,-,88.7,88.6
