Altersgruppe / Jahr,2015,2020,2030,Veränderung 2030 zu 2015 in %,
unter 18 Jahren,5130,5328,5429,5423,5.7
18 bis unter 65 Jahre,18057,17804,17520,17164,-4.9
65 Jahre und mehr,8448,8563,8654,9005,6.6
gesamt,31635,31695,31603,31592,-0.1
