LOR-ID,Name,Anschrift,PLZ / Ort,SuS
07010101,Finow-Grundschule,Welserstr. 16-22,10777 Berlin,571
07010102,Werbellinsee-Grundschule,Luitpoldstr. 38,10781 Berlin,441
07010102,Spreewald-Grundschule,Pallasstr. 15,10781 Berlin,276
07010102,Katholische Schule Sankt Franziskus (Integrierte Sekundarschule),Hohenstaufenstr. 2,10781 Berlin,919
07010103,Sophie-Scholl-Schule,Elßholzstr. 34-37,10781 Berlin,1091
07010103,Grundschule am Barbarossaplatz,Barbarossaplatz 5,10781 Berlin,302
07010104,Neumark-Grundschule,Steinmetzstr. 46-50,10783 Berlin,266
