Altersgruppe / Jahr,2015,2020,2030,Veränderung 2030 zu 2015 in %,
unter 18 Jahren,6907,7210,7226,7168,3.8
18 bis unter 65 Jahre,34548,33506,32792,32093,-7.1
65 Jahre und mehr,7780,8425,9287,10296,32.3
gesamt,49235,49141,49305,49557,0.7
