Räumliche Ebene,GdB 20 - 100,GdB 50 - 100,Merkzeichen „G“,Merkzeichen „aG“,Merkzeichen „B“,Merkzeichen „H“
07010101,1843,1388,709,139,420,158
07010102,2649,1980,919,134,521,176
07010103,1407,971,381,57,187,72
07010104,1980,1374,572,73,315,103
070101,7879,5713,2581,403,1443,509
