KID,Beschreibung,abs.,Indikatorwert,t-5,Bezirk,Berlin
B3,Anteil unter 18-Jähriger mit Migrationshintergrund an dieser Altersgruppe (%),4875,70.6,-,53.9,47.1
B4,Anteil 65-Jähriger und Älterer mit Migrationshintergrund an dieser Altersgruppe (%),2402,30.9,-,13.5,104
DA1,Einwohner_innen,49235,100,1.6,100,100
DD1,Deutsche ohne Migrationshintergrund ,25149,51.1,-,66.3,70.1
DE1,Deutsche mit Migrationshintergrund,9273,18.8,-,15.7,12.7
DF1,Ausländer_innen,14813,30.1,2.7,18,17.2
