LOR-ID,Name,Fläche in m²,VAG
07010101,Viktoria-Luise-Platz - Gartendenkmal ,6666,wohnortnah
07010102,Gleditschstr. 3-23 - Grünanlage ,4154,wohnortnah
07010102,Pallasstr. 7 ,703,wohnortnah
07010103,Heinrich-v.-Kleist-Park ,35147,wohnortnah
07010103,Traunsteiner Str. 5-6 ,528,wohnortnah
07010103,Alice-Salomon-Park - Grünanlage ,4501,wohnortnah
07010104,Bülowstr. 69 - Grünanlage ,3018,wohnortnah
07010104,Dennewitzstr. 25-26 - Grünanlage ,2887,wohnortnah
07010104,Nelly-Sachs-Park - Grünanlage ,15643,wohnortnah
