KID,Beschreibung,abs.,Indikatorwert,t-5,Bezirk,Berlin
A1,Anteil der EW in einfacher Wohnlage (%),14534,29.5,2.2,29.6,40.4
A2,Anteil der EW in mittlerer Wohnlage (%),12154,24.7,-2.1,47.7,43.2
A3,Anteil der EW in guter Wohnlage (%),22490,45.7,-0.2,22.6,16.3
C1,Anteil der EW mit mindestens 5 Jahren Wohndauer an derselben Adresse (%),28885,61.2,1.7,64.3,61.9
