ID,Ebene,Einwohnerinnen,Veränderung EW zum Vorjahr in %,Veränderung EW 5 Jahre in %. Haushaltsgröße,Veränderung EW zum Vorjahr absolut,Veränderung 5 Jahre absolut
7010101,Friedenau,24069,0.8,43556,199,326
7010102,Ceciliengärten,9237,0.9,43617,86,145
7010103,Grazer Platz,12214,43497,43498,141,259
70303,Friedenau,45520,0.9,43617,426,730
7,Tempelhof-Schöneberg,342161,43617,43619,5394,11916
