label,ylabel,xlabel,Name der ersten Linie / Balken - hier bitte eintragen,Ggf. Name der zweiten Linie / Balken - hier bitte eintragen (oder löschen)
,Name y-Achse - hier bitte eintragen (untere Zeilen bleiben leer),Name x-Achse - hier bitte eintragen (untere Zeilen bleiben leer),,
