name,wert,phase_b,phase_bz
A4,19.8,,
A5,0.5,,
A6,58.1,,
A7,8.0,,
A8,3.1,,
B1,21.1,,
B2,11.5,,
C1,60.1,,
C2,0.8,,
C3,0.2,,
D1,59.3,,
D2,9.0,,
D3,5.6,,
D4,32.4,,
D5,51.6,,
D6,8.8,,
DA1,35568,,
E1,43.5,,
E2,40.4,,
E3,11.9,,
E5,29.8,,
E6,63.0,,
E8,7.1,,
