,,"Kinder unter 1 am 31.12.2012, insgesamt","Kinder unter 1 am 31.12.2012, weiblich","Kinder unter 1 am 31.12.2013, insg","Kinder unter 1 am 31.12.2013, weibl","Kinder unter 1 am 31.12.2014, insges","Kinder unter 1 am 31.12.2014, weibl","Kinder unter 1 am 31.12.2015, insges","Kinder unter 1 am 31.12.2015, weibl","Kinder unter 1 am 31.12.2016, insges","Kinder unter 1 am 31.12.2016, weibl"
2010101,Askanischer Platz,62,31,69,27,63,38,71,39,80,42
2010102,Mehringplatz,157,83,153,83,151,69,154,74,173,87
2010103,Moritzplatz,201,111,206,101,202,89,192,83,176,86
30405,BZR V,475,245,484,236,462,222,472,222,477,232
3,Pankow,3240,1562,3170,1547,3377,1655,3457,1677,3698,1762
,Berlin,34305,16623,34502,16741,36994,18131,37108,17902,40456,19799
