name,wert,phase_b,phase_bz
A4,24.4,,
A5,0.7,,
A6,64.9,,
A7,8.6,,
A8,2.0,,
B1,15.9,,
B2,19.7,,
C1,62.2,,
C2,0.7,,
C3,-1.5,,
D1,60.5,,
D2,6.6,,
D3,3.5,,
D4,18.2,,
D5,30.0,,
D6,3.2,,
E1,27.4,,
E2,21.9,,
E3,10.8,,
E5,38.2,,
E6,40.9,,
E8,3.4,,
